"","link","Brand","Model","Year","Engine","Body type","Doors","Seats","Length","Width","Height","Wheelbase","Weight","Max width","Boot capacity","Engine kw","Engine hp","Torque","Fuel supply","Cylinders","Cylinders diameter","Valves in cylinders","Gears","Fuel","Fuel capacity","Eco standart","ABS","Front brakes","Rear brakes","Tires","Wheels","Max speed","Acceleration","Fuel town","Fuel road","Fuel average"
"12","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/turbo-s-3-8-at-580-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  - ","3800","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","1990 kg","145 l","425 kw","570 hp","425 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","330 km/h","2.9 s","-","-","-"
"13","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-3-0-at-370-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","2981","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","1940 kg","145 l","271 kw","363 hp","271 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","235/40/R19, 295/35/R19","8,5 J x 19, 11,5 J x 19","290 km/h","4.6 s","-","-","-"
"14","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-4s-3-0-at-420-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","2981","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","2015 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","301 km/h","4.2 s","-","-","8 l/100km"
"15","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-s-3-0-at-420-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","2981","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","1965 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","304 km/h","4.3 s","-","-","-"
"16","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-3-0-mt-370-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","2981","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","1925 kg","145 l","271 kw","363 hp","271 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","235/40/R19, 295/35/R19","8,5 J x 19, 11,5 J x 19","292 km/h","4.8 s","-","-","-"
"17","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-4s-3-0-mt-420-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","2981","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","2000 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","303 km/h","4.4 s","-","-","9 l/100km"
"18","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-s-3-0-mt-420-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","2981","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","1950 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","306 km/h","4.5 s","-","-","-"
"19","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/turbo-3-8-at-540-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","3800","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","2065 kg","145 l","396 kw","531 hp","396 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","320 km/h","3.1 s","-","-","-"
"20","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/turbo-s-3-8-at-580-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  - ","3800","Cabrio","2","4","4499 mm","1808 mm","1297 mm","2450","1297 kg","2045 kg","145 l","425 kw","570 hp","425 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","330 km/h","3 s","-","-","-"
"21","https://www.car-info.com/en/model/porsche/911/911-turbo-997/911-turbo-997","Porsche","911 Turbo (997)","2007  - -","3600","Cabrio","2","4","4450 mm","1852 mm","1300 mm","2350","1300 kg","1950 kg","-","352 kw","472 hp","352 N*m/rpm","Injection ","6","100 mm","4","6","A-98","67 liters","-","Yes","-","-","-","-","310 km/h","3.9 s","18.8 l/100km","9.5 l/100km","-"
